year,country,city,avg_temp_city,avg_temp_global
1750,Netherlands,Amsterdam,10.04,8.72
1751,Netherlands,Amsterdam,9.63,7.98
1752,Netherlands,Amsterdam,5.97,5.78
1753,Netherlands,Amsterdam,9.08,8.39
1754,Netherlands,Amsterdam,8.72,8.47
1755,Netherlands,Amsterdam,8.55,8.36
1756,Netherlands,Amsterdam,9.17,8.85
1757,Netherlands,Amsterdam,9.05,9.02
1758,Netherlands,Amsterdam,8.79,6.74
1759,Netherlands,Amsterdam,9.64,7.99
1760,Netherlands,Amsterdam,9.14,7.19
1761,Netherlands,Amsterdam,9.41,8.77
1762,Netherlands,Amsterdam,8.58,8.61
1763,Netherlands,Amsterdam,8.44,7.50
1764,Netherlands,Amsterdam,9.07,8.40
1765,Netherlands,Amsterdam,8.87,8.25
1766,Netherlands,Amsterdam,8.85,8.41
1767,Netherlands,Amsterdam,8.50,8.22
1768,Netherlands,Amsterdam,8.61,6.78
1769,Netherlands,Amsterdam,8.81,7.69
1770,Netherlands,Amsterdam,8.84,7.69
1771,Netherlands,Amsterdam,8.22,7.85
1772,Netherlands,Amsterdam,9.30,8.19
1773,Netherlands,Amsterdam,9.54,8.22
1774,Netherlands,Amsterdam,8.90,8.77
1775,Netherlands,Amsterdam,9.93,9.18
1776,Netherlands,Amsterdam,8.89,8.30
1777,Netherlands,Amsterdam,8.78,8.26
1778,Netherlands,Amsterdam,9.56,8.54
1779,Netherlands,Amsterdam,10.57,8.98
1780,Netherlands,Amsterdam,9.25,9.43
1781,Netherlands,Amsterdam,10.12,8.10
1782,Netherlands,Amsterdam,8.36,7.90
1783,Netherlands,Amsterdam,9.78,7.68
1784,Netherlands,Amsterdam,7.80,7.86
1785,Netherlands,Amsterdam,8.00,7.36
1786,Netherlands,Amsterdam,7.96,8.26
1787,Netherlands,Amsterdam,9.18,8.03
1788,Netherlands,Amsterdam,8.84,8.45
1789,Netherlands,Amsterdam,8.64,8.33
1790,Netherlands,Amsterdam,9.16,7.98
1791,Netherlands,Amsterdam,9.29,8.23
1792,Netherlands,Amsterdam,9.10,8.09
1793,Netherlands,Amsterdam,9.17,8.23
1794,Netherlands,Amsterdam,9.70,8.53
1795,Netherlands,Amsterdam,8.84,8.35
1796,Netherlands,Amsterdam,9.18,8.27
1797,Netherlands,Amsterdam,9.52,8.51
1798,Netherlands,Amsterdam,9.41,8.67
1799,Netherlands,Amsterdam,7.26,8.51
1800,Netherlands,Amsterdam,8.88,8.48
1801,Netherlands,Amsterdam,9.36,8.59
1802,Netherlands,Amsterdam,8.86,8.58
1803,Netherlands,Amsterdam,8.09,8.50
1804,Netherlands,Amsterdam,8.59,8.84
1805,Netherlands,Amsterdam,7.47,8.56
1806,Netherlands,Amsterdam,9.56,8.43
1807,Netherlands,Amsterdam,9.01,8.28
1808,Netherlands,Amsterdam,8.41,7.63
1809,Netherlands,Amsterdam,8.64,7.08
1810,Netherlands,Amsterdam,8.47,6.92
1811,Netherlands,Amsterdam,10.07,6.86
1812,Netherlands,Amsterdam,8.00,7.05
1813,Netherlands,Amsterdam,8.83,7.74
1814,Netherlands,Amsterdam,7.76,7.59
1815,Netherlands,Amsterdam,8.75,7.24
1816,Netherlands,Amsterdam,7.78,6.94
1817,Netherlands,Amsterdam,8.94,6.98
1818,Netherlands,Amsterdam,9.47,7.83
1819,Netherlands,Amsterdam,9.55,7.37
1820,Netherlands,Amsterdam,8.11,7.62
1821,Netherlands,Amsterdam,9.29,8.09
1822,Netherlands,Amsterdam,10.19,8.19
1823,Netherlands,Amsterdam,8.44,7.72
1824,Netherlands,Amsterdam,9.51,8.55
1825,Netherlands,Amsterdam,9.75,8.39
1826,Netherlands,Amsterdam,9.78,8.36
1827,Netherlands,Amsterdam,8.98,8.81
1828,Netherlands,Amsterdam,9.63,8.17
1829,Netherlands,Amsterdam,7.20,7.94
1830,Netherlands,Amsterdam,8.29,8.52
1831,Netherlands,Amsterdam,9.82,7.64
1832,Netherlands,Amsterdam,8.65,7.45
1833,Netherlands,Amsterdam,9.11,8.01
1834,Netherlands,Amsterdam,10.49,8.15
1835,Netherlands,Amsterdam,9.13,7.39
1836,Netherlands,Amsterdam,9.04,7.70
1837,Netherlands,Amsterdam,8.52,7.38
1838,Netherlands,Amsterdam,7.62,7.51
1839,Netherlands,Amsterdam,8.92,7.63
1840,Netherlands,Amsterdam,8.35,7.80
1841,Netherlands,Amsterdam,9.34,7.69
1842,Netherlands,Amsterdam,9.11,8.02
1843,Netherlands,Amsterdam,9.20,8.17
1844,Netherlands,Amsterdam,8.24,7.65
1845,Netherlands,Amsterdam,7.99,7.85
1846,Netherlands,Amsterdam,10.26,8.55
1847,Netherlands,Amsterdam,8.62,8.09
1848,Netherlands,Amsterdam,9.11,7.98
1849,Netherlands,Amsterdam,8.80,7.98
1850,Netherlands,Amsterdam,8.46,7.90
1851,Netherlands,Amsterdam,8.66,8.18
1852,Netherlands,Amsterdam,9.66,8.10
1853,Netherlands,Amsterdam,7.80,8.04
1854,Netherlands,Amsterdam,8.91,8.21
1855,Netherlands,Amsterdam,7.22,8.11
1856,Netherlands,Amsterdam,8.79,8.00
1857,Netherlands,Amsterdam,9.82,7.76
1858,Netherlands,Amsterdam,8.57,8.10
1859,Netherlands,Amsterdam,9.81,8.25
1860,Netherlands,Amsterdam,7.84,7.96
1861,Netherlands,Amsterdam,9.02,7.85
1862,Netherlands,Amsterdam,9.55,7.56
1863,Netherlands,Amsterdam,9.71,8.11
1864,Netherlands,Amsterdam,7.77,7.98
1865,Netherlands,Amsterdam,9.37,8.18
1866,Netherlands,Amsterdam,9.50,8.29
1867,Netherlands,Amsterdam,8.81,8.44
1868,Netherlands,Amsterdam,10.40,8.25
1869,Netherlands,Amsterdam,8.98,8.43
1870,Netherlands,Amsterdam,8.21,8.20
1871,Netherlands,Amsterdam,7.96,8.12
1872,Netherlands,Amsterdam,10.07,8.19
1873,Netherlands,Amsterdam,9.27,8.35
1874,Netherlands,Amsterdam,9.06,8.43
1875,Netherlands,Amsterdam,8.86,7.86
1876,Netherlands,Amsterdam,9.11,8.08
1877,Netherlands,Amsterdam,9.11,8.54
1878,Netherlands,Amsterdam,9.28,8.83
1879,Netherlands,Amsterdam,7.36,8.17
1880,Netherlands,Amsterdam,9.29,8.12
1881,Netherlands,Amsterdam,8.27,8.27
1882,Netherlands,Amsterdam,9.20,8.13
1883,Netherlands,Amsterdam,9.00,7.98
1884,Netherlands,Amsterdam,9.74,7.77
1885,Netherlands,Amsterdam,8.55,7.92
1886,Netherlands,Amsterdam,8.80,7.95
1887,Netherlands,Amsterdam,7.99,7.91
1888,Netherlands,Amsterdam,7.84,8.09
